;5ppm;10ppm;20ppm
R1;4.023443986966657;10.395077484047377;7.003227972621118
R2;13.783078657361836;27.29918971473404;33.17966188456769
R3;1.2324822529448554;11.568213007890993;9.059282903838195
R4;3.6731791056977103;7.825789754699075;9.293206801815934
R5;-0.3654069373049684;3.0618577598977126;2.6393353521236174
R6;3.2919442269399246;8.62943505033722;10.734869563267967
R7;1.506480195066473;3.65290344210083;3.334984093600135
R8;2.6300459515496755;8.077255262818039;6.974593536531781
