;5ppm;5ppm
R1;15875.363636363636;15354.90909090909
R2;24112.636363636364;22839.636363636364
R3;16353.545454545454;15053.0
R4;27802.272727272728;27212.727272727272
R5;6030.636363636364;5859.272727272727
R6;39126.09090909091;37789.0
R7;45411.09090909091;44887.63636363636
R8;23720.636363636364;22851.272727272728
