;5ppm;10ppm;20ppm;35ppm;50ppm;5ppm;10ppm;20ppm;35ppm;50ppm
R1;4.023443986966657;10.395077484047377;21.42720588235294;41.414258578812955;80.16334748284206;-8.957133621013702;8.664242003696799;23.61442093730648;55.93917126644974;85.48347900669822
R2;13.783078657361836;27.29918971473404;60.51244275905352;97.35878052289462;141.51496478873239;12.778763905964464;32.607354550128086;64.26835109567715;110.335019932536;143.59102465797648
R3;1.2324822529448554;11.568213007890993;17.215563851699265;27.877211092151356;37.2355609814915;-7.584749203255992;-0.8169123013409108;8.149932000261305;23.988820273297318;36.2427148874408
R4;3.6731791056977103;7.825789754699075;19.348821977211216;37.61936385575637;68.63737421015679;-5.134791454730414;7.40245794462171;20.683505951225456;46.96256159005476;71.71247529042215
R5;-0.3654069373049684;3.0618577598977126;6.259706435587842;10.594515000920302;16.940198159943385;3.3826565726084112;3.659917504430621;5.286415190518667;12.180657863471268;18.689460735898876
R6;3.2919442269399246;8.62943505033722;19.919586955876678;38.1116313171638;55.683803186832435;4.686920113410498;7.303739355436689;17.513283038419036;38.41867315135117;60.7794213381555
R7;1.506480195066473;3.65290344210083;8.15691745217113;15.790901554924751;29.35636529694343;-2.5585699158853226;3.205210665581104;8.894172019594816;20.54413358945586;30.80025796465884
R8;2.6300459515496755;8.077255262818039;13.902570777187972;20.309411278438706;25.56713744466952;3.1816885779017756;6.596462036955941;12.487765740713508;21.084604289221787;27.86953739781495
