;5ppm;10ppm;20ppm;35ppm;50ppm;5ppm;10ppm;20ppm;35ppm;50ppm
R1;5.3691359735890565;11.86440677966103;22.978050663627346;43.13933584388909;82.49909974792944;-7.785956496567692;10.082540184036981;25.31770770890782;57.869697370159926;87.9927610354867
R2;11.408991000705004;24.714143125739874;57.12084081484643;93.3152232576548;136.41895994860468;10.482992050207486;29.87024602012056;61.03904278340935;105.96053146059666;138.63458702719987
R3;3.683859846447235;14.368312105131853;20.051596738576528;31.00179181019169;40.66885055564769;-5.326214968659471;1.6385633134392563;10.850896970885193;27.03412171776933;39.668077467804075
R4;4.4889179837276805;8.702631706961128;20.28404620926669;38.687023483861104;69.85306585432878;-4.383574268636281;8.244122918475405;21.707690051741825;48.107474253084526;73.13085922367708
R5;-2.4726458885941605;0.8961341885912244;4.023659222322418;8.160507446221743;14.467923647189318;1.3253759107115348;1.4476883546879815;3.007301570625631;9.775144616532948;16.236588883839474
R6;2.4767596111819667;7.774336973059581;18.9846182153806;36.97352957253743;54.43612845570418;3.854452955210119;6.438724201829693;16.632630501058898;37.302356482638864;59.557693991419704
R7;1.9093953746457615;4.090920336188897;8.591817964251703;16.255595243477885;29.87442473902795;-2.155630770141437;3.611813193578506;9.367807400195671;21.036795857523938;31.36106514686643
R8;1.7975055025678532;7.180910099889015;12.962694353853866;19.340088976767177;24.510698868998794;2.346432659290354;5.726785432760528;11.60342819104676;20.065347775490117;26.852143757881453
