;NO2 5ppm;NO2 10ppm;NO2 20ppm;NO2 35ppm;NO2 50ppm
R1;15875.363636363636;14959.09090909091;13600.0;11677.818181818182;9166.181818181818
R2;24112.636363636364;21552.454545454544;17092.81818181818;13901.636363636364;11360.0
R3;16353.545454545454;14838.545454545454;14123.636363636364;12946.09090909091;12063.272727272728
R4;27802.272727272728;26731.545454545456;24150.636363636364;20944.363636363636;17092.0
R5;6030.636363636364;5830.090909090909;5654.636363636364;5433.0;5138.181818181818
R6;39126.09090909091;37203.63636363636;33701.0;29261.909090909092;25959.090909090908
R7;45411.09090909091;44470.72727272727;42618.818181818184;39809.0;35634.27272727273
R8;23720.636363636364;22525.090909090908;21373.090909090908;20234.909090909092;19387.636363636364
