;5ppm;10ppm;20ppm
R1;15875.363636363636;14959.09090909091;15433.272727272728
R2;24112.636363636364;21552.454545454544;20600.81818181818
R3;16353.545454545454;14838.545454545454;15179.90909090909
R4;27802.272727272728;26731.545454545456;26372.636363636364
R5;6030.636363636364;5830.090909090909;5854.090909090909
R6;39126.09090909091;37203.63636363636;36496.27272727273
R7;45411.09090909091;44470.72727272727;44607.545454545456
R8;23720.636363636364;22525.090909090908;22757.272727272728
