;5ppm;10ppm;20ppm;35ppm;50ppm;5ppm;10ppm;20ppm;35ppm;50ppm
R1;5.301238625886873;11.751139471285299;22.918783422459875;43.15135143551099;82.37642321577339;-7.838788735359126;9.999042896196109;25.132865610093024;57.854684052845265;87.7619057343571
R2;11.330347347109582;24.555102350713053;57.05240372086098;93.10447429341212;136.30881882202303;10.347681809858699;29.74884329948546;60.727348929360645;105.80099523291793;138.3401267202066
R3;3.6711527664281984;14.25586923491644;20.03926364572606;30.957747863517948;40.5415385542895;-5.358484054970248;1.5723887018942895;10.7552425126052;26.97568647743289;39.52477499382776
R4;4.4592495708329905;8.643346131740849;20.253748254327952;38.6628209802594;69.91601599897879;-4.415504757345456;8.21680453649316;21.598552065134236;48.076860680167435;73.01443310135664
R5;-2.50388169498168;0.8498230185089994;3.979035706821432;8.220805515118057;14.43029016277424;1.163736469999388;1.4350465017801017;3.0266343825665842;9.772904715027675;16.142008009050613
R6;2.453373359325428;7.747532010556157;18.946025340494344;36.99037843178068;54.41989143757662;3.8370241986379394;6.432598914785559;16.559256889997933;37.2949275610508;59.474141048824606
R7;1.9068229227141131;4.061711687770098;8.583489581000281;16.24758220502902;29.866548292374297;-2.174259792720823;3.61225320578058;9.32365188893398;21.01956104148044;31.31613568941056
R8;1.7562383348599386;7.157069288389506;12.932787192051176;19.285078891564524;24.49803998799609;2.3031841930860164;5.6888837583294105;11.530028018028982;20.05367179269213;26.780836962334774
