;5 ppm;10 ppm;20 ppm;35 ppm;50 ppm;5 ppm;10 ppm;20 ppm;35 ppm;50 ppm
R1;15875.363636363636;14959.09090909091;13600.0;11677.818181818182;9166.181818181818;18112.454545454544;15195.181818181818;13270.0;10626.727272727272;8873.727272727272
R2;24112.636363636364;21552.454545454544;17092.81818181818;13901.636363636364;11360.0;24189.81818181818;20721.363636363636;16618.0;13091.818181818182;11284.454545454546
R3;16353.545454545454;14838.545454545454;14123.636363636364;12946.09090909091;12063.272727272728;17944.81818181818;16700.81818181818;15256.818181818182;13411.727272727272;12163.0
R4;27802.272727272728;26731.545454545456;24150.636363636364;20944.363636363636;17092.0;30340.909090909092;26852.0;23761.909090909092;19650.272727272728;16835.727272727272
R5;6030.636363636364;5830.090909090909;5654.636363636364;5433.0;5138.181818181818;5817.272727272727;5800.545454545455;5683.454545454545;5336.454545454545;5039.272727272727
R6;39126.09090909091;37203.63636363636;33701.0;29261.909090909092;25959.090909090908;38555.09090909091;37669.545454545456;34372.90909090909;29247.636363636364;25180.545454545456
R7;45411.09090909091;44470.72727272727;42618.818181818184;39809.0;35634.27272727273;47301.181818181816;44662.818181818184;42257.818181818184;38326.72727272727;35269.0
R8;23720.636363636364;22525.090909090908;21373.090909090908;20234.909090909092;19387.636363636364;23558.272727272728;22860.454545454544;21608.454545454544;20123.18181818182;19052.909090909092
