;5ppm;10ppm
R1;15875.363636363636;14959.09090909091
R2;24112.636363636364;21552.454545454544
R3;16353.545454545454;14838.545454545454
R4;27802.272727272728;26731.545454545456
R5;6030.636363636364;5830.090909090909
R6;39126.09090909091;37203.63636363636
R7;45411.09090909091;44470.72727272727
R8;23720.636363636364;22525.090909090908
