;5ppm;10ppm;20ppm;35ppm;50ppm;5ppm;10ppm;20ppm;35ppm;50ppm
R1;15875.363636363636;14959.09090909091;13600.0;11677.818181818182;9166.181818181818;18138.81818181818;15197.363636363636;13359.363636363636;10590.09090909091;8903.272727272728
R2;24112.636363636364;21552.454545454544;17092.81818181818;13901.636363636364;11360.0;24327.363636363636;20689.727272727272;16702.0;13044.0;11263.181818181818
R3;16353.545454545454;14838.545454545454;14123.636363636364;12946.09090909091;12063.272727272728;17913.81818181818;16691.454545454544;15307.545454545454;13352.09090909091;12151.181818181818
R4;27802.272727272728;26731.545454545456;24150.636363636364;20944.363636363636;17092.0;30383.636363636364;26836.909090909092;23883.545454545456;19612.81818181818;16785.909090909092
R5;6030.636363636364;5830.090909090909;5654.636363636364;5433.0;5138.181818181818;5812.0;5796.454545454545;5706.909090909091;5356.181818181818;5062.454545454545
R6;39126.09090909091;37203.63636363636;33701.0;29261.909090909092;25959.090909090908;38604.72727272727;37663.27272727273;34391.09090909091;29197.0;25136.363636363636
R7;45411.09090909091;44470.72727272727;42618.818181818184;39809.0;35634.27272727273;47305.545454545456;44663.63636363636;42330.27272727273;38239.27272727273;35240.90909090909
R8;23720.636363636364;22525.090909090908;21373.090909090908;20234.909090909092;19387.636363636364;23593.81818181818;22838.0;21641.909090909092;20105.363636363636;19038.545454545456
