;5ppm;10ppm
R1;4.023443986966657;10.395077484047377
R2;13.783078657361836;27.29918971473404
R3;1.2324822529448554;11.568213007890993
R4;3.6731791056977103;7.825789754699075
R5;-0.3654069373049684;3.0618577598977126
R6;3.2919442269399246;8.62943505033722
R7;1.506480195066473;3.65290344210083
R8;2.6300459515496755;8.077255262818039
