;5ppm;10ppm;20ppm;35ppm;50ppm;5ppm;10ppm;20ppm;35ppm;50ppm
R1;5.348138052671669;11.800911577028273;22.973529411764716;43.215108675344105;82.45765065259651;-7.797741659023572;10.04803464715771;25.188597714915662;57.92498991338386;87.84553177585362
R2;11.410671130565264;24.6449676687321;57.16571553177572;93.24379732928759;136.4793133802817;10.427296609504456;29.842455852047788;60.84331217818224;105.94947868751916;138.51208684773394
R3;3.7197104881343535;14.309384649316282;20.095487899073117;31.019086140428477;40.60736570808463;-5.3141556543450434;1.6199633998889018;10.807118295789952;27.035159627705553;39.590125913678406
R4;4.487141339001055;8.67235509969493;20.2858573273055;38.69984547806309;69.96138544348231;-4.389982646161217;8.24569961315149;21.631020215515417;48.11639883007868;73.06062985729372
R5;-2.450593183291372;0.9049445665902711;4.03586759055321;8.279955825510775;14.492834394904474;1.219029593943577;1.4904879158106121;3.082945711736973;9.832903357208345;16.20548781582778
R6;2.4704974824983017;7.765541002834531;18.965906056200097;37.013275092347776;54.44570127823498;3.8543795861081476;6.450388128294726;16.578738679679184;37.317875124156586;59.50079566003617
R7;1.917943554037671;4.073067472372038;8.5953388068011;16.260267778643023;29.880720042247376;-2.16358451152181;3.6235599430083587;9.335581885304522;21.03276735959223;31.330465626209225
R8;1.7784667742318794;7.180477528089901;12.957457125357298;19.31113646982712;24.52523632680621;2.3255321116471217;5.711971275943606;11.554391521500795;20.07989726848105;26.808531973412776
