;5ppm;10ppm;20ppm;35ppm;50ppm
R1;4.023443986966657;10.395077484047377;21.42720588235294;41.414258578812955;80.16334748284206
R2;13.783078657361836;27.29918971473404;60.51244275905352;97.35878052289462;141.51496478873239
R3;1.2324822529448554;11.568213007890993;17.215563851699265;27.877211092151356;37.2355609814915
R4;3.6731791056977103;7.825789754699075;19.348821977211216;37.61936385575637;68.63737421015679
R5;-0.3654069373049684;3.0618577598977126;6.259706435587842;10.594515000920302;16.940198159943385
R6;3.2919442269399246;8.62943505033722;19.919586955876678;38.1116313171638;55.683803186832435
R7;1.506480195066473;3.65290344210083;8.15691745217113;15.790901554924751;29.35636529694343
R8;2.6300459515496755;8.077255262818039;13.902570777187972;20.309411278438706;25.56713744466952
