;5ppm;10ppm;20ppm;35ppm;50ppm
R1;3.9752847465197583;10.343968398663005;21.370989304812827;41.34878869029082;80.07993811242909
R2;13.698965838357102;27.20508526765566;60.39378580052228;97.21288533723956;141.3364276568502
R3;1.202408151693568;11.535068372298207;17.180741503604537;27.83922138658914;37.19479110146502
R4;3.6360663778304714;7.787190483154061;19.30609771246383;37.570099137107846;68.57700572303898
R5;-0.39344558843481536;3.032854625688053;6.229803379366894;10.563392065324706;16.90728945506017
R6;3.2712419287757255;8.607662985045451;19.895552060769717;38.083950279761766;55.65260024514096
R7;1.5038376688113697;3.650205037838994;8.154101794555114;15.787887161194703;29.352997752419153
R8;2.609158883519158;8.055259589306484;13.879389546753785;20.284926140243687;25.541582264235885
