;5 ppm;10 ppm;20 ppm;35 ppm;50 ppm;5 ppm;10 ppm;20 ppm;35 ppm;50 ppm
R1;5.133168030510404;11.572774232756;22.722593582887708;42.92286853085883;82.08533343912406;-7.851955209122796;9.839243300807077;25.774474207028852;57.059387137064355;88.08638370675439
R2;10.836264651880011;24.002328357453507;56.35540710878042;92.24747904105467;135.26008322663253;10.482622290370113;28.975804505670478;60.82287552380223;104.13929588223039;136.83506674507973
R3;3.5869341649572783;14.163052002156551;19.941748197734288;30.851362643690262;40.42736781817084;-5.598729438227279;1.4329727993729335;11.033219127066896;26.308386825641072;39.27597108966836
R4;4.331562167906489;8.510544232724705;20.1067541980825;38.49332430508534;69.70831649043679;-4.397902621722849;8.023780182278628;22.071611938128633;47.61395863115479;72.2916092940878
R5;-2.591314047967208;0.7593831376401461;3.8857896175302553;8.123755500895191;14.327671620665239;0.9814033442725467;1.272607591762509;3.359032598611611;10.07989642425171;16.57165536152403
R6;2.3433560957928368;7.6318297331639195;18.81829781150275;36.843274377798;54.254071090877254;3.8590588202005893;6.300604539476051;16.49568105960826;36.91005333764343;59.02338024304476
R7;1.83965871373033;3.9931272461149137;8.511924949926076;16.170966364389972;29.78095653571511;-2.229715575048097;3.54586182120169;9.438920393429084;20.66383772065068;31.125067339590018
R8;1.6345567917463555;7.028929355546953;12.797740574384097;19.14243611400639;24.349163478130386;2.3350222465761794;5.4588113653987635;11.569124879571557;19.803934855774653;26.53376721283316
