;5ppm;10ppm
R1;16270.0;14959.09090909091
R2;25319.636363636364;21552.454545454544
R3;16583.545454545456;14838.545454545454
R4;28275.272727272728;26731.545454545456
R5;6045.0;5830.090909090909
R6;39656.0;37203.63636363636
R7;45789.27272727273;44470.72727272727
R8;24067.090909090908;22525.090909090908
