Time;R1;R2;R3;R4;R5;R6;R7;R8;Humidity;Temperature
94;15483;26844;15573;27718;5727;39531;45245;23549;7.23;46.91
95;15516;26791;15503;27642;5699;39495;45211;23512;7.16;46.92
96;15568;26827;15562;27675;5672;39446;45189;23541;7.16;46.91
97;15468;26768;15484;27721;5734;39560;45131;23527;7.16;46.91
98;15578;26733;15544;27690;5758;39423;45175;23544;7.16;46.91
99;15522;26872;15643;27706;5774;39589;45153;23492;7.23;46.92
100;15521;26784;15552;27663;5748;39588;45065;23488;7.16;46.92
101;15544;26825;15599;27678;5754;39585;45123;23488;7.16;46.92
102;15505;26774;15532;27624;5681;39555;45132;23548;7.16;46.91
103;15504;26784;15531;27600;5721;39472;45203;23554;7.16;46.92
104;15516;26819;15518;27686;5699;39556;45166;23527;7.23;46.93
105;15529;26824;15561;27676;5758;39565;45216;23555;7.16;46.92
106;15501;26811;15554;27667;5786;39553;45161;23525;7.16;46.91
107;15534;26798;15534;27761;5697;39468;45123;23448;7.16;46.91
108;15523;26757;15572;27726;5740;39451;45175;23615;7.16;46.91
109;15490;26819;15565;27709;5688;39488;45186;23527;7.16;46.91
110;15506;26784;15482;27616;5743;39515;45131;23502;7.16;46.92
111;15540;26775;15495;27600;5768;39493;45211;23443;7.16;46.91
112;15588;26830;15559;27705;5690;39484;45110;23460;7.16;46.92
113;15513;26812;15504;27691;5735;39528;45135;23495;7.16;46.92
114;15517;26799;15535;27655;5762;39488;45163;23470;7.16;46.91
115;15558;26874;15524;27674;5775;39548;45204;23557;7.16;46.91
116;15518;26778;15536;27648;5753;39530;45196;23533;7.16;46.93
117;15548;26740;15605;27441;5671;39488;45063;23477;7.16;46.92
118;15501;26826;15575;27666;5707;39507;45139;23554;7.16;46.91
119;15544;26798;15571;27610;5677;39528;45148;23612;7.2;46.91
120;15505;26877;15653;27774;5765;39568;45248;23484;7.16;46.91
121;15492;26772;15580;27671;5771;39466;45127;23520;7.2;46.91
122;15456;26737;15567;27621;5740;39591;45151;23529;7.23;46.91
123;15480;26817;15581;27776;5716;39470;45172;23536;7.23;46.91
124;15542;26779;15620;27697;5693;39456;45175;23471;7.23;46.91
125;15549;26828;15599;27753;5793;39550;45128;23505;7.23;46.91
126;15486;26836;15593;27685;5724;39445;45066;23476;7.23;46.92
127;15543;26791;15538;27699;5783;39475;45203;23484;7.23;46.92
128;15552;26854;15566;27674;5764;39501;45235;23534;7.23;46.92
129;15536;26885;15619;27741;5724;39528;45160;23511;7.23;46.91
130;15520;26758;15495;27660;5726;39480;45127;23512;7.23;46.91
131;15503;26888;15629;27781;5749;39602;45142;23519;7.23;46.92
132;15526;26790;15662;27719;5763;39517;45166;23536;7.23;46.91
133;15564;26934;15691;27728;5760;39536;45183;23528;7.23;46.91
134;15550;26845;15687;27741;5746;39635;45132;23577;7.31;46.91
135;15483;26794;15615;27579;5746;39560;45167;23538;7.31;46.91
136;15461;26929;15674;27812;5848;39502;45167;23638;7.31;46.91
137;15610;26874;15758;27697;5800;39610;45224;23561;7.31;46.91
138;15583;26845;15695;27732;5771;39665;45219;23547;7.31;46.92
139;15601;26896;15752;27719;5728;39514;45202;23449;7.31;46.92
140;15555;26846;15728;27810;5687;39563;45201;23537;7.31;46.91
141;15608;26884;15694;27725;5759;39593;45234;23586;7.31;46.91
142;15580;26826;15676;27741;5708;39599;45298;23633;7.31;46.92
143;15586;26872;15718;27701;5785;39562;45194;23598;7.31;46.92
144;15582;26924;15658;27527;5680;39516;45135;23534;7.31;46.91
145;15620;26930;15674;27711;5721;39505;45196;23574;7.31;46.91
146;15634;26901;15750;27708;5809;39573;45158;23627;7.31;46.91
147;15552;26906;15731;27673;5687;39592;45166;23619;7.31;46.91
148;15578;26890;15709;27746;5777;39566;45216;23570;7.31;46.92
149;15614;26889;15731;27686;5695;39503;45151;23597;7.31;46.91
150;15569;26855;15682;27726;5783;39621;45275;23597;7.31;46.91
151;15576;26880;15663;27713;5750;39512;45184;23643;7.31;46.91
152;15627;26919;15742;27727;5718;39566;45273;23703;7.31;46.91
153;15595;26875;15729;27731;5758;39531;45228;23532;7.31;46.91
154;15565;26885;15697;27733;5750;39551;45169;23642;7.31;46.91
155;15642;26891;15660;27715;5737;39585;45218;23607;7.31;46.91
156;15595;26901;15719;27749;5781;39465;45240;23574;7.31;46.92
157;15530;26896;15721;27718;5690;39572;45251;23605;7.31;46.9
158;15654;26865;15729;27754;5772;39558;45196;23541;7.23;46.92
159;15541;26891;15777;27721;5785;39617;45134;23632;7.31;46.92
160;15603;26898;15688;27746;5752;39511;45193;23578;7.31;46.92
161;15557;26846;15710;27688;5749;39606;45176;23598;7.31;46.91
162;15636;26852;15722;27723;5731;39516;45239;23645;7.31;46.92
163;15654;26836;15715;27662;5720;39491;45132;23569;7.31;46.91
164;15595;26887;15696;27750;5739;39497;45243;23549;7.31;46.91
165;15595;26940;15755;27720;5735;39657;45293;23581;7.31;46.91
166;15630;26902;15735;27760;5770;39605;45227;23637;7.31;46.91
167;15621;26932;15738;27713;5763;39592;45272;23564;7.31;46.92
168;15509;26887;15714;27750;5756;39567;45207;23602;7.31;46.92
169;15582;26945;15736;27723;5794;39676;45190;23607;7.31;46.92
170;15592;26969;15698;27760;5762;39567;45138;23596;7.31;46.91
171;15543;26909;15726;27804;5760;39557;45208;23629;7.31;46.92
172;15630;26871;15772;27761;5683;39570;45168;23619;7.31;46.91
173;15552;26891;15704;27710;5758;39507;45242;23621;7.31;46.91
174;15603;26891;15733;27794;5828;39589;45186;23669;7.31;46.92
175;15647;26891;15732;27798;5827;39568;45249;23618;7.31;46.91
176;15666;26927;15778;27768;5720;39545;45176;23663;7.31;46.91
177;15664;26910;15614;27744;5781;39611;45103;23567;7.31;46.91
178;15603;26926;15727;27718;5770;39543;45261;23642;7.31;46.91
179;15621;26898;15695;27698;5779;39644;45232;23638;7.31;46.92
180;15629;26979;15783;27737;5738;39652;45285;23628;7.31;46.91
181;15582;26903;15665;27704;5756;39641;45128;23621;7.31;46.92
182;15630;27003;15704;27761;5773;39651;45244;23608;7.31;46.91
183;15586;26943;15710;27740;5696;39661;45229;23616;7.31;46.92
184;15664;26913;15770;27741;5734;39608;45343;23613;7.31;46.92
185;15607;26851;15791;27729;5753;39613;45139;23599;7.31;46.92
186;15577;26918;15708;27719;5768;39762;45265;23670;7.31;46.92
187;15625;26970;15691;27785;5798;39637;45338;23585;7.31;46.92
188;15608;26906;15799;27804;5789;39627;45312;23631;7.31;46.93
189;15574;26960;15766;27762;5739;39645;45267;23574;7.31;46.93
190;15646;26982;15663;27742;5713;39577;45164;23529;7.31;46.92
191;15575;26850;15775;27768;5769;39575;45300;23692;7.31;46.92
192;15694;26897;15711;27762;5812;39631;45249;23643;7.31;46.92
193;15546;27018;15704;27794;5712;39645;45268;23633;7.31;46.93
194;15580;26990;15774;27743;5804;39629;45237;23588;7.31;46.92
195;15620;26896;15761;27749;5766;39570;45180;23599;7.31;46.92
196;15603;26946;15801;27752;5770;39594;45326;23614;7.31;46.93
