Time;R1;R2;R3;R4;R5;R6;R7;R8;Humidity;Temperature;Indexes
86;14829;27677;15531;26838;6182;46085;45365;30243;9.18;42.06;Air
87;14856;27644;15546;26845;6231;46011;45321;30275;9.18;42.06;Air
88;14827;27690;15561;26842;6219;46061;45403;30262;9.18;42.05;Air
89;14772;27753;15495;26793;6203;46093;45302;30209;9.18;42.07;Air
90;14852;27621;15449;26864;6171;46072;45327;30224;9.18;42.06;Air
91;14814;27615;15427;26836;6179;46011;45359;30221;9.18;42.05;Air
92;14776;27675;15480;26887;6181;46053;45332;30188;9.18;42.05;Air
93;14815;27715;15512;26838;6141;46084;45342;30207;9.18;42.07;Air
94;14802;27670;15482;26835;6262;46099;45367;30128;9.18;42.06;Air
95;14749;27741;15531;26813;6144;46001;45322;30182;9.18;42.08;Air
96;14780;27754;15506;26764;6202;46066;45360;30185;9.18;42.06;Air
97;14826;27684;15541;26767;6265;46013;45381;30156;9.18;42.07;Air
98;14790;27639;15472;26813;6174;46055;45348;30223;9.18;42.07;Air
99;14750;27678;15480;26792;6219;45984;45400;30144;9.18;42.08;Air
100;14765;27630;15481;26848;6167;46084;45270;30204;9.18;42.07;Air
101;14844;27664;15432;26677;6168;46050;45284;30128;9.18;42.07;Air
102;14716;27602;15463;26770;6132;45993;45334;30216;9.14;42.07;Air
103;14750;27672;15533;26823;6100;46035;45302;30188;9.18;42.07;Air
104;14748;27694;15493;26761;6075;46055;45297;30209;9.14;42.07;Air
105;14731;27636;15496;26761;6212;46110;45231;30215;9.18;42.07;Air
106;14706;27626;15499;26837;6172;46061;45332;30139;9.1;42.08;Air
107;14742;27666;15433;26686;6075;45995;45363;30201;9.18;42.09;Air
108;14760;27608;15467;26814;6077;45910;45294;30188;9.1;42.07;Air
109;14690;27619;15452;26795;6192;45993;45344;30138;9.18;42.07;Air
110;14711;27646;15374;26827;6100;45964;45257;30130;9.14;42.08;Air
111;14746;27578;15441;26803;6133;45948;45306;30177;9.1;42.07;Air
112;14699;27620;15433;26828;6200;45962;45277;30114;9.18;42.08;Air
113;14752;27648;15421;26813;6098;45931;45243;30142;9.14;42.08;Air
114;14744;27609;15432;26663;6169;45960;45231;30216;9.1;42.08;Air
115;14717;27644;15446;26759;6145;45963;45264;30164;9.1;42.08;Air
116;14706;27621;15473;26705;6218;45907;45242;30137;9.14;42.08;Air
117;14687;27709;15417;26841;6138;45939;45236;30186;9.18;42.07;Air
118;14698;27604;15486;26856;6123;45968;45271;30173;9.18;42.08;Air
119;14771;27584;15459;26698;6135;45937;45261;30137;9.14;42.08;Air
120;14736;27595;15399;26740;6193;46044;45250;30106;9.14;42.09;Air
121;14707;27506;15417;26756;6124;45928;45293;30100;9.1;42.09;Air
122;14721;27519;15461;26751;6076;46001;45267;30156;9.1;42.09;Air
123;14708;27642;15454;26725;6105;46027;45204;30157;9.1;42.09;Air
124;14655;27845;15465;26773;6195;45988;45226;30120;9.14;42.09;Air
125;14667;27639;15462;26816;6175;45983;45234;30121;9.1;42.09;Air
126;14667;27594;15531;26789;6200;45971;45231;30020;9.1;42.08;Air
